     u      w
0.9404 -4.0185
2.1713 -2.6800
-4.5051 1.7948
0.1279 1.7526
-5.2207 1.1037
-0.5714 0.0142
-2.1269 -1.8340
-2.7891 4.7609
-4.7813 -6.5489
-2.6409 4.2193
-3.5869 -1.0631
1.4199 -0.6090
5.6209 3.9267
1.5764 -1.2878
3.1180 -3.2907
-7.4257 -0.3673
-3.4038 -1.1453
5.7208 0.0574
0.1144 -3.9459
-0.0261 -1.1652
5.4383 -0.5117
-4.6113 -4.2051
1.8096 -2.8479
-0.5375 0.6006
0.3446 1.7126
7.0535 1.1916
3.6730 -1.0200
0.0786 -2.4767
-5.3104 -2.4764
-1.2231 -4.3225
0.2622 -2.8271
-1.1729 -0.1010
2.1985 2.8337
-0.6554 -3.2248
-7.8694 -1.2596
5.4148 4.3242
0.3975 -1.4893
5.2363 -2.3908
3.2112 -0.3068
1.8442 -0.2674
-1.5465 2.7014
-6.2447 4.1184
-2.3386 4.3987
0.0836 -3.0305
1.3504 0.0796
-0.4421 3.1597
1.8241 2.0992
-1.0731 5.7481
1.1077 9.5000
-0.9990 4.7999
7.8756 3.6792
-2.7333 -5.3081
-4.4284 4.0521
2.4768 6.7593
-0.8891 -5.0417
-6.6769 1.2595
6.7658 -3.6672
-4.7251 0.0382
1.6840 -1.0833
3.3216 3.5824
-3.0271 1.8741
5.2294 1.3900
-1.7772 0.3857
3.7955 1.8011
2.0018 -2.0091
